upDown
-0.17892,5.907249,7.979893,-0.27391,0.083876,-0.13006
-0.49273,5.974323,8.664999,-0.27923,0.030613,-0.10130
-0.47596,5.955159,8.748842,-0.24408,-0.01732,-0.05975
0.252256,5.708425,8.087689,-0.18443,-0.04502,-0.01714
-0.12143,5.842571,7.833769,0.004121,-0.05141,0.054225
-0.23642,5.991091,7.989475,0.161780,0.062570,-0.03845
0.134878,6.046187,7.852933,0.038209,0.000785,0.000962
-0.00885,6.242616,8.080503,0.012643,-0.02691,0.000962
0.051036,6.295317,8.178718,-0.01185,-0.01945,-0.00969
0.034268,6.350413,8.365565,-0.02464,-0.02371,-0.00862
-0.05675,6.374368,8.815915,-0.03422,-0.03649,-0.01288
0.015104,6.175543,8.734469,0.009447,-0.06099,-0.00116
0.060618,6.173148,8.487734,0.136213,-0.07697,0.013745
-0.23402,6.618707,8.159554,0.176693,-0.09082,-0.00969
-0.52627,7.001983,8.379938,0.150062,-0.11852,-0.05656
-0.69156,7.145712,9.036299,-0.01718,-0.10254,-0.02993
-0.82091,7.313395,11.23534,-0.14288,-0.12065,-0.00116
-0.98860,7.078639,12.81157,-0.25899,-0.23357,0.085117
-1.02932,7.030729,13.28827,-0.08109,-0.34755,0.147968
-1.12514,6.704944,12.94811,0.105321,-0.39762,0.175665
-1.18263,6.582774,10.96945,0.633692,-0.50841,0.231058
-1.00297,6.398323,9.412389,1.106668,-0.65648,0.309888
-0.41608,6.139611,6.437205,1.262197,-0.72146,0.362086
0.067805,5.830594,4.252529,1.332504,-0.74383,0.428132
0.427126,5.576673,3.107490,1.185498,-0.75129,0.478200
1.380527,5.016131,1.560010,1.059797,-0.73531,0.500570
1.869204,4.194482,1.828304,0.651801,-0.62771,0.477134
2.111148,3.897443,1.433050,0.436618,-0.40081,0.404696
2.575870,3.732155,0.647333,0.362049,-0.36992,0.352499
2.664503,3.562076,0.249684,0.122365,-0.35820,0.186317
2.465678,3.487816,0.381435,-0.15566,-0.15261,0.027593
1.481137,3.818392,1.025819,-0.28349,0.040200,-0.04484
